X,Y,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD,created_user,created_date,last_edited_user,last_edited_date
-8532615.31596212,4762204.16204187,1,1025, ,S Pulaski St and Ashton St,Tri-District,-76.64978532,39.28239286,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532762.90960061,4762287.95396014,2,1026, ,S Smallwood St and Ramsay St,Tri-District,-76.65111118,39.28297549,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532758.53958132,4762130.23853944,3,1027, ,Smallwood and Ashton,Tri-District,-76.65107192,39.28187885,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531289.88154752,4762666.86289003,4,1028, ,W Pratt St and S Carey St,Tri-District,-76.63787874,39.28561007,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531156.26499556,4762797.32799078,5,1029, ,Lombard and Carrolton,Tri-District,-76.63667845,39.28651718,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531572.53794507,4765916.86800161,6,1101, ,Pennsylvania Ave and Baker St,Pennsylvania Ave,-76.64041789,39.30820355,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531667.00291775,4765839.81819797,7,1102, ,N Carey St and Baker St,Pennsylvania Ave,-76.64126648,39.307668,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531471.95493762,4765813.42683331,8,1103, ,Pennsylvania Ave and Gold St,Pennsylvania Ave,-76.63951434,39.30748456,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531361.43964954,4765711.47445863,9,1104, ,Pennsylvania Ave and Bloom St,Pennsylvania Ave,-76.63852156,39.30677591,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531301.857059,4765547.17282156,10,1105, ,N Fremont Ave and Presstman St,Pennsylvania Ave,-76.63798632,39.30563386,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531237.70681358,4765580.76266425,11,1106, ,Pennsylvania Ave and Presstman St,Pennsylvania Ave,-76.63741005,39.30586734,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531131.73669279,4765706.87569799,12,1107, ,Division St and Presstman St,Pennsylvania Ave,-76.6364581,39.30674394,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531023.92524752,4765575.71635374,13,1108, ,Division St and Robert St,Pennsylvania Ave,-76.63548962,39.30583227,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531147.34083249,4765469.32400696,14,1109, ,Pennsylvania Ave and Robert St,Pennsylvania Ave,-76.63659828,39.30509274,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531242.50292856,4765385.83421179,15,1110, ,N Fremont Ave and Robert St,Pennsylvania Ave,-76.63745313,39.3045124,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
